business_name,zip,address_clean,city_clean,state_clean,cluster_id,link_score,source_file
In Your Space,80211,3186 W 36th Ave,Denver,Colorado,258,0.6900739,0
DC Power starters and alternators,80219,2577 W Wesley Ave,Denver,Colorado,270,0.6743132,0
Garden Center at The Home Depot,80223,500 S Santa Fe Dr,Denver,Colorado,210,0.73212534,0
Queen Bee Brews,80229,800 E 64th Ave #6,Denver,Colorado,272,0.67418754,0
"VIST Labs Colorado, LLC",80209,155 S Madison St,Denver,Colorado,119,0.80332834,0
Paramount Audio Video Corp.,80219,2505 W 2nd Ave #10,Denver,Colorado,117,0.8037195,0
New Deal Deicing,80216,6883 E 47th Ave Dr,Denver,Colorado,152,0.77889097,0
Record Nations,80212,3845 Tennyson St,Denver,Colorado,303,0.6458893,0
Spinelli's Market,80207,4621 E 23rd Ave,Denver,Colorado,92,0.81674606,0
Talon Manufacturing LLC,80110,2750 S Raritan St,Englewood,Colorado,179,0.76138,0
TH!S,80214,7055 W 16th Ave,Lakewood,Colorado,5,0.91075015,0
"CranioMandibular Rehab, Inc.",80211,2600 W 29th Ave #102g,Denver,Colorado,155,0.77690417,0
Technicraft Manufacturing Inc,80223,901 S Jason St Unit A,Denver,Colorado,39,0.86386937,0
"Silver Bullet Water Treatment Company, LLC",80033,9500 W 49th Ave,Wheat Ridge,Colorado,197,0.74502873,0
Blanchard Family Wines,80202,1855 Blake St #120,Denver,Colorado,110,0.80593044,0
Earthship Overland - Offroad Adventure Trailers,80110,1900 W Yale Ave,Englewood,Colorado,137,0.7875294,0
Paramount Press,80002,6440 W 56th Pl,Arvada,Colorado,75,0.83001834,0
"Gas Detection Services, LLC",80202,1675 Broadway,Denver,Colorado,208,0.73438025,0
Chewy G3,80223,1550 W Evans Ave,Denver,Colorado,232,0.7175203,0
Oriental Rug and Carpet Clinic,80216,5090 Acoma St suite b,Denver,Colorado,33,0.8675951,0
Western Daughters Butcher Shoppe,80211,3326 Tejon St,Denver,Colorado,177,0.76218617,0
"Liquidyne Process Technologies, Inc.",80033,11925 W Interstate 70 Frontage Rd N #700,Wheat Ridge,Colorado,18,0.88660544,0
A1 Equipment,80033,7080 W 38th Ave,Wheat Ridge,Colorado,359,0.6003135,0
G & S Vending,80002,5665 Gray St,Arvada,Colorado,147,0.78001505,0
Carniceria La Guadalajara,80219,5185 W 1st Ave,Denver,Colorado,164,0.77329284,0
Sherwin-Williams Paint Store,80214,7105 W Colfax Ave,Lakewood,Colorado,268,0.6762275,0
Garden Center at The Home Depot,80226,6701 W Alameda Ave,Lakewood,Colorado,310,0.6403515,0
Blackbelly Market & Restaurant,80212,4324 W 41st Ave,Denver,Colorado,238,0.7119838,0
Carter Country Meats,80216,620 E 52nd Ave,Denver,Colorado,159,0.77525777,0
Intoxalock Ignition Interlock,80202,3100 Inca St,Denver,Colorado,345,0.6179146,0
Logic HVAC/R,80229,565 E 70th Ave Unit 8E,Denver,Colorado,224,0.72543186,0
Lab Seven Screen Printing Denver,80212,5265 W 48th Ave,Denver,Colorado,223,0.72553843,0
"Mile High Laser Engraving, LLC",80221,7100 N Broadway Suite 3-F,Denver,Colorado,153,0.77864957,0
Ojs Manufacturing Inc,80219,2505 W 2nd Ave #32,Denver,Colorado,242,0.70666987,0
Replica Wine,80221,7000 Broadway Suite 307,Denver,Colorado,200,0.7418701,0
Apikol Performance Automotive,80003,5880 W 59th Ave UNIT G,Arvada,Colorado,331,0.627106,0
Olive & Olde's,80216,4800 Dahlia St,Denver,Colorado,172,0.76680255,0
Idea ChÃ­c,80246,4340 E Kentucky Ave ste 121,Glendale,Colorado,353,0.60849684,0
Colorado Saddlery,80030,3300 W 71st Ave,Westminster,Colorado,44,0.86037374,0
Hook & Hock Butchershop,80211,2630 W 38th Ave,Denver,Colorado,235,0.7130702,0
Intoxalock Ignition Interlock,80204,3200 W Colfax Ave #282,Denver,Colorado,230,0.7180364,0
Lucky Onion,80211,2501 15th St #1b,Denver,Colorado,128,0.7921538,0
Safeway,80215,9160 W Colfax Ave,Denver,Colorado,241,0.70741516,0
Vollmer's Bakery,80216,4004 Grape St,Denver,Colorado,165,0.7717355,0
Genghis Kern Letterpress & Design,80211,2626 W 32nd Ave,Denver,Colorado,50,0.8570959,0
HARLAN AUTOMOTIVE / I70 and Harlan Service,80033,6065 W 48th Ave,Wheat Ridge,Colorado,139,0.78703666,0
Ann Sacks,80206,2940 E 2nd Ave,Denver,Colorado,344,0.6186542,0
"Cushing Terrell - Architecture, Engineering, and Design Firm in Denver, CO",80290,1700 Broadway #1200,Denver,Colorado,123,0.79750216,0
LifeSafer Ignition Interlock,80214,6275 W 16th Ave,Denver,Colorado,305,0.6450638,0
Blake Street Manufacturing,80205,2660 Walnut St,Denver,Colorado,205,0.73742455,0
Object Design Studio,80206,290 Fillmore St Suite #3,Denver,Colorado,154,0.7783032,0
Rugby Scott Ranch Provisions,80209,731 S University Blvd,Denver,Colorado,147,0.78001505,0
Redline Heating and Cooling,80003,5415 W 59th Ave # A,Arvada,Colorado,319,0.6326971,0
Altman Lighting,80229,1400 E 66th Ave,Denver,Colorado,192,0.75220466,0
comfortzone security storm doors,80003,6733 W 58th Pl,Arvada,Colorado,278,0.6711714,0
A One Stop Print Shop,80002,6260 W 52nd Ave # 121,Arvada,Colorado,90,0.81872946,0
B & R Manufacturing,80022,5750 E 58th Ave,Commerce City,Colorado,142,0.7849392,0
Jim Hohn Machining,80002,6260 W 52nd Ave #104,Arvada,Colorado,233,0.7165981,0
Denver Heating & Cooling,80002,5440 Marshall St STE 3,Arvada,Colorado,220,0.72619003,0
KARLI J GOLLIHER-BEUCK,80101,35756 CR 153,AGATE,CO,77,0.8278817,1
JOHN KEVEN TURECEK,80101,36843 COUNTY RD 170,AGATE,CO,283,0.6687842,1
"G & C TRUCKING, INC.",81020,PO BOX 456,AGUILAR,CO,323,0.6308904,1
SPANISH PEAKS INN LLC,81020,22590 COUNTY RD 41 6,AGUILAR,CO,156,0.77686155,1
SUNBEAR CAFE LLC,81020,217 E MAIN ST,AGUILAR,CO,55,0.8526372,1
HUFFMAN TAXIDERMY LLC,81020,129 E MAIN ST,AGUILAR,CO,174,0.7640051,1
DANIEL BORREGO,81020,21710 COUNTY RD 50 9,AGUILAR,CO,217,0.72857445,1
MICHELE EICHLER,81020,22250 COUNTY RD 44,AGUILAR,CO,293,0.6549688,1
ADELITAS COCINA Y CANTINA COMPANY LITTLETON,80120,2609 W MAIN ST,AGUILAR,CO,297,0.6510823,1
"AKRON AUTO, LLC",80720,202 W 1 ST ST,AKRON,CO,204,0.73926145,1
FIVE STAR DINING & GRILL LLC,80720,85 MAIN AVE,AKRON,CO,221,0.72616094,1
WASHINGTON COUNTY TITLE COMPANY,80720,158 MAIN AVE,AKRON,CO,336,0.62350154,1
JD'S QUIK STOP LLC,80720,352 W 1 ST ST,AKRON,CO,74,0.8319655,1
GLOSSON CONSTRUCTION COMPANY INC,80720,801 E 4 TH,AKRON,CO,85,0.82341605,1
"HOLTORF, INC.",80720,28548 COUNTY RD 55,AKRON,CO,308,0.64239424,1
"THARP ENTERPRISES,INC.",80720,726 E 1 ST ST,AKRON,CO,314,0.6363326,1
AKRON DENTAL CLINIC LLC,80720,482 ADAMS AVE,AKRON,CO,22,0.87590885,1
"MELANIE K. KRENING, PUBLIC ACCOUNTANT",80720,150 BENT AVE,AKRON,CO,111,0.8057545,1
REDLINE AVIATION INC.,80720,1201 N CEDAR AVE BLDG 4,AKRON,CO,191,0.7526964,1
AKRON BALANCED CHILD DEVELOPMENT CENTER,80720,481 ASH AVE,AKRON,CO,343,0.62032545,1
PACHNER AGRI-ENTERPRISES,80720,20998 COUNTY RD 19,AKRON,CO,170,0.7678254,1
"SHR LOGISTICS, INC",80720,26721 CO RD 41,AKRON,CO,234,0.7141767,1
J AND H AUTO LLC,80720,301 E 1 ST ST,AKRON,CO,40,0.8631309,1
KESSINGER LIVESTOCK LLC,80720,21250 COUNTY RD 50,AKRON,CO,143,0.78324693,1
ENTRU LLC,80720,27662 COUNTY RD 31,AKRON,CO,23,0.875675,1
3 D RANCH INC.,80720,12001 US HWY 34,AKRON,CO,102,0.8119359,1
LUKE CRUMLEY PUMPING SERVICE LLC,80720,28612 COUNTY RD 43,AKRON,CO,184,0.7569796,1
BASLER BROTHERS,80720,33508 COUNTY RD U,AKRON,CO,60,0.8471855,1
FRANK'S AUTO SERVICE INC.,80720,401 W 1 ST ST,AKRON,CO,8,0.90608144,1
"ANDREW J. BURNS, PUBLIC ACCOUNTANT LLC",80720,182 MAIN AVE,AKRON,CO,131,0.79020435,1
DASHABOUT TOWN TAXI LLC,80720,28548 COUNTY RD 55,AKRON,CO,214,0.7305607,1
COREY TRAXLER,80720,37005 COUNTY RD V,AKRON,CO,72,0.8334386,1
"MASTERS EXCAVATING, LLC",80720,38534 COUNTY RD DD,AKRON,CO,79,0.827701,1
SHOOK FARMS PARTNERSHIP,80720,30500 COUNTY RD BB,AKRON,CO,7,0.90693265,1
REDLINE PROPELLER INC,80720,1201 N CEDAR AVE BLDG 7,AKRON,CO,138,0.787041,1
WILLIAM J. STAFFORD DBA W J STAFFORD TRUCKING,80720,24941 US HWY 34,AKRON,CO,276,0.67276555,1
SHAWN BRANDON,80720,32091 CO RD 23,AKRON,CO,48,0.85806906,1
WASHINGTON COUNTY GOLF CLUB,80720,39469 HWY 63,AKRON,CO,43,0.86115783,1
GOODMAN REALTY COMPANY INC,80720,142 MAIN ST,AKRON,CO,21,0.87639844,1
EARL F. JESSE,80720,29034 COUNTY RD 23,AKRON,CO,150,0.7791529,1
L&M FARMS INC.,80720,51931 COUNTY RD MM,AKRON,CO,196,0.7463714,1
AKRON HARDWARE LLC,80720,170 MAIN AVE,AKRON,CO,318,0.63493866,1
FILLA FARMS LLC,80720,25524 COUNTY RD 39,AKRON,CO,175,0.7628886,1
MARTA WELLS,80720,281 ADAMS AVE,AKRON,CO,321,0.63156277,1
AJ'S APPRAISAL SERVICE LLC,80720,601 MAIN AVE,AKRON,CO,149,0.7797469,1
COLORADO COMPOST LLC,80720,36683 HWY 63,AKRON,CO,66,0.84198725,1
JONEAL YOUNG,80720,15778 COUNTY RD RR,AKRON,CO,31,0.8682442,1
STRETCH'S AUTOBODY & RESTORATION LLC,80720,840 MAIN AVE,AKRON,CO,9,0.905078,1
KITCHENS SPECIALTIES & DESIGN INC,80720,575 E 1 ST ST,AKRON,CO,71,0.8334898,1
LEWIS J MAZOTTI III,80720,601 ADAMS AVE,AKRON,CO,277,0.67181504,1
KYLE D ZIMMERMAN DBA KVK UNLIMITED SERVICES,80720,25722 COUNTY RD 40,AKRON,CO,65,0.84224355,1
HENRIETTA UHLENHOPP,80720,575 E 7 TH ST,AKRON,CO,127,0.7931375,1
DANIEL J GEBAUER,80720,801 FREMONT AVE,AKRON,CO,322,0.6312936,1
MEHRING FARMS LLC,80720,46940 COUNTY RD DD,AKRON,CO,108,0.80755925,1
DOUBLE SLASH N INC.,80720,24381 COUNTY RD 55,AKRON,CO,73,0.8330557,1
GLOSSON DEVELOPMENT SERVICES LLC,80720,565 ASH AVE,AKRON,CO,64,0.8450227,1
VIC D. VONDY,80720,482 DELTA AVE,AKRON,CO,154,0.7783032,1
"VOLBERDING FARMS, INC",80720,28138 COUNTY RD 23,AKRON,CO,132,0.7899334,1
KATHRYN BLAKE,80720,15656 CO RD 40,AKRON,CO,80,0.82767946,1
SMART TMS,80720,43115 COUNTY RD V,AKRON,CO,158,0.77584696,1
DELL COWAN,80720,721 BENT AVE,AKRON,CO,180,0.7603791,1
LB HOLDINGS,80720,222 E 1 ST ST,AKRON,CO,83,0.82483315,1
HUSMANN PLUMBING INC,81101,18 CONEJOS AVE,ALAMOSA,CO,341,0.6219152,1
"CALLVILLO'S, INC.",81101,400 MAIN ST,ALAMOSA,CO,250,0.698318,1
"SLEEP SANCTUARY, INC.",81101,630 MAIN ST,ALAMOSA,CO,296,0.6520751,1
SAN LUIS VALLEY DEVELOPMENT RESOURCES GROUP,81101,610 STATE STE 200,ALAMOSA,CO,304,0.6457991,1
STEFFENS QUALITY PLUMBING & HEATING INCORPORATED,81101,171 CURTIS LN,ALAMOSA,CO,334,0.6251292,1
SAND DUNES RECREATION LLC,81101,4 SHADOW WOOD PL,ALAMOSA,CO,86,0.82244235,1
"HIGHLAND CABINETS, INC.",81101,2414 STOCKTON ST,ALAMOSA,CO,299,0.64974934,1
"SOUTH-CENTRAL COLORADO SENIORS, INCORPORATED",81101,1116 3 RD ST,ALAMOSA,CO,12,0.8990179,1
"HAYNIE'S, INC.",81101,2807 ADCOCK BLVD,ALAMOSA,CO,263,0.6832666,1
"KENTUCKY FRIED CHICKEN OF ALAMOSA, INC",81101,2007 MAIN ST,ALAMOSA,CO,166,0.7716756,1
"ALLPINE TITLE, INC.",81101,225 E 6 TH ST,ALAMOSA,CO,30,0.8691891,1
PRINCE PREFERRED HOTELS ALAMOSA LLC,81101,3418 MARIPOSA ST,ALAMOSA,CO,219,0.72683156,1
DIAMOND HOSPITALITY LLC,81101,710 MARIPOSA,ALAMOSA,CO,211,0.7309873,1
"AGRO ENGINEERING, INC.",81101,0210 COUNTY RD 2 S,ALAMOSA,CO,332,0.62627375,1
"DEPOT AVIONICS, INC.",81101,2550 STATE AVE UNIT A,ALAMOSA,CO,176,0.76256305,1
"ALAMOSA NEWSPAPER, INC.",81101,2205 STATE AVE,ALAMOSA,CO,95,0.81513566,1
"ALAMOSA FAMILY DENTAL, LLC",81101,2415 MULLINS AVE 5,ALAMOSA,CO,56,0.8517248,1
SOUL FOODS LLC,81101,1705 MAIN ST,ALAMOSA,CO,144,0.78320736,1
"NORTH RIVER GREENHOUSE & LANDSCAPING, INC",81101,8544 CR 4 S,ALAMOSA,CO,231,0.7179901,1
"NINO'S DEL SOL, LLC",81101,326 MAIN ST,ALAMOSA,CO,195,0.746651,1
LA PUENTE ENTERPRISE,81101,911 STATE AVE,ALAMOSA,CO,89,0.8198291,1
"AUTOMOTIVE CONCEPTS, INC.",81101,6778 S STATE HWY 17,ALAMOSA,CO,291,0.6610976,1
BLANCA PEAK DENTAL CENTER,81101,100 EDISON AVE,ALAMOSA,CO,253,0.69685155,1
"O & V PRINTING, INC.",81101,342 SANTA FE AVE,ALAMOSA,CO,229,0.718654,1
"ROCK CREEK FAMILY MEDICINE, P.C.",81101,77 ADCOCK DR,ALAMOSA,CO,256,0.69384146,1
"SOUTHWEST READY MIX, INC",81101,117 WHITE PNE DR,ALAMOSA,CO,282,0.66960996,1
"ROCKY MOUNTAIN SOILS, INC.",81101,4903 STATE HWY 17,ALAMOSA,CO,335,0.6238849,1
"VALLEY MEAT & FOOD, LLC",81101,808 W AVE,ALAMOSA,CO,302,0.646496,1
"FULL THROTTLE CAR WASH, LLC",81101,51 CRAFT DR,ALAMOSA,CO,198,0.744454,1
"PRO SHED, LLC",81101,0573 W US HWY 160,ALAMOSA,CO,15,0.89529437,1
"RUSTIC LIVING, LLC",81101,5800 RUSTIC WAY,ALAMOSA,CO,169,0.7707861,1
CATON'S SUPER LUBE LIMITED LIABILITY COMPANY,81101,725 MAIN ST,ALAMOSA,CO,238,0.7119838,1
ROCKY MOUNTAIN HOSPITALITY LLC,81101,2505 W MAIN ST,ALAMOSA,CO,329,0.6282459,1
ACE HARDWARE OF ALAMOSA LLC,81101,157 CRAFT DR,ALAMOSA,CO,199,0.74391395,1
FERNANDEZ CHILI CO. INC.,81101,8267 COUNTY RD 10,ALAMOSA,CO,218,0.7281275,1
"ALAMOSA TOWN 'N' COUNTRY, INC.",81101,3221 MAIN ST,ALAMOSA,CO,113,0.80516887,1
"MDR HOSPITALITY, INC.",81101,2005 MAIN ST,ALAMOSA,CO,309,0.6421338,1
PORTER REALTY INC,81101,503 MAIN ST,ALAMOSA,CO,82,0.82596594,1
"RUSSELL SURVEYORS & ASSOCIATES, INC",81101,6820 S STATE HWY 17,ALAMOSA,CO,243,0.7050503,1
CHAPARRAL INC,81101,517 BELL AVE,ALAMOSA,CO,244,0.70472425,1
"ROGERS AUTO SPECIALISTS, LLC",81101,2520 1 ST ST,ALAMOSA,CO,240,0.7074209,1
JDT PURPLE PIG PUB LLC,81101,624 MAIN ST,ALAMOSA,CO,98,0.8140981,1
COLORADO MALTING COMPANY,81101,2064 COUNTY RD 12 S,ALAMOSA,CO,255,0.69487554,1
NORCON FERTILIZER LLC,81101,2930 RD 100 S,ALAMOSA,CO,163,0.7737301,1
"L & M AUTO, INC",81101,1002 W AVE,ALAMOSA,CO,124,0.79393214,1
TIMOTHY HASLETT,81101,502 LA DUE AVE,ALAMOSA,CO,287,0.6660962,1
WOODY'S Q SHACK LLC,81101,703 MAIN ST,ALAMOSA,CO,78,0.8278459,1
"MARTINEZ AND ASSOCIATES, INC.",81101,514 2 ND ST,ALAMOSA,CO,346,0.61739004,1
"GARRISON FENCE, INC",81101,6655 W US HWY 160,ALAMOSA,CO,93,0.81623816,1
JADE COMMUNICATIONS,81101,129 SANTA FE AVE,ALAMOSA,CO,162,0.7740812,1
ALL 4 PAWS LLC,81101,2207 STATE AVE,ALAMOSA,CO,202,0.7404006,1
"ALAMOSA CAR CARE CENTER, INC.",81101,1110 6 TH ST,ALAMOSA,CO,289,0.66368145,1
SEGER HOLDINGS LLC,81101,2209 MAIN ST,ALAMOSA,CO,193,0.75174934,1
"VAN-OLSON, INC.",81101,1501 STATE AVE,ALAMOSA,CO,261,0.6860386,1
MCCARROLL ACCOUNTING & CONSULTING INC.,81101,409 MAIN ST,ALAMOSA,CO,36,0.86427003,1
"HSU, INC.",81101,419 MAIN ST,ALAMOSA,CO,120,0.7990769,1
"SILVER FOX JEWWLRY, INC.",81101,12649 S US HWY 285,ALAMOSA,CO,35,0.8657441,1
"CREDECO, INC.",81101,1310 W 8 TH ST,ALAMOSA,CO,306,0.6449364,1
"SANGRE DE CRISTO LABORATORY, INC.",81101,2329 LAVA LN,ALAMOSA,CO,114,0.8045356,1
WEISS DRY CLEANING LLC,81101,627 MAIN ST,ALAMOSA,CO,271,0.6742891,1
SOUTHSIDE RENTALS LLC,81101,237 BROADWAY AVE,ALAMOSA,CO,284,0.667958,1
"VALLEY COLLISION & KUSTOM PAINTING, INC",81101,429 6 TH ST,ALAMOSA,CO,6,0.9089958,1
MAJESTIC VALLEY PELLETS LLC,81101,11406 COUNTY RD 103 S,ALAMOSA,CO,330,0.6273032,1
"DYLAN BROWN AGENCY, INC.",81101,2415 MULLINS AVE,ALAMOSA,CO,328,0.6284508,1
"J & J SUBWAY #37450, INC",81101,3333 CLARK ST,ALAMOSA,CO,249,0.6985222,1
LARSON LAW FIRM PC,81101,319 ROSS AVE,ALAMOSA,CO,300,0.64886385,1
NETELLIGENCE LLC,81101,602 W AVE,ALAMOSA,CO,29,0.8692175,1
JUANITO'S MEXICAN KITCHEN LLC,81101,1019 6 TH ST,ALAMOSA,CO,28,0.8711126,1
"MURPHY THEATERS, LLC",81101,3507 CARROLL ST,ALAMOSA,CO,58,0.8494979,1
LPL FINANCIAL,81101,609 MAIN ST,ALAMOSA,CO,11,0.89902216,1
DAREN BOLT AGENCY,81101,127 SANTA FE AVE,ALAMOSA,CO,32,0.86779696,1
GERALD ZIEGLER,81101,5348 COUNTY RD 103 S,ALAMOSA,CO,246,0.7009654,1
PS LIQUOR LLC,81101,603 DEL SOL DR,ALAMOSA,CO,298,0.6504235,1
"JOCELYN RUSSELL, LLC",81101,6820 S STATE HWY 17,ALAMOSA,CO,59,0.8490316,1
"SCHULZ REALTY, LLC",81101,1123 W AVE,ALAMOSA,CO,76,0.8294053,1
"SCHRADER'S GLASS SHOP, LLC",81101,1424 21 ST ST UNIT B,ALAMOSA,CO,237,0.71240485,1
"HORTICULTURAL ILLUMINATIONS, LLC",81101,0711 W US HWY 160,ALAMOSA,CO,107,0.80799407,1
SLV BUILDING COMPONENTS,81101,5975 GRIEGO RD,ALAMOSA,CO,267,0.67692506,1
SAN LUIS VALLEY HABITAT FOR HUMANITY,81101,507 MAIN ST,ALAMOSA,CO,312,0.63862365,1
GUSTAVO VALDEZ GONZALEZ,81101,7306 ADAMS LN 1,ALAMOSA,CO,97,0.8143154,1
YELLOW LINE TOWING AND RECOVER LLC,81101,7378 HARMONY RD,ALAMOSA,CO,140,0.7863439,1
MITCHELL NORRIS,81101,7001 BASE CP RD,ALAMOSA,CO,209,0.73234856,1
"LISHA ROGERS, LLC",81101,2414 STOCKTON ST UNIT B,ALAMOSA,CO,355,0.6077356,1
HP ADVENTURES INC.,81101,6900 JUNIPER LN,ALAMOSA,CO,326,0.62854534,1
EXTREMEM GRAPHICS,81101,175 1 2 BROADWAY AVE,ALAMOSA,CO,286,0.6670652,1
"SAGE APARTMENTS, LLC",81101,2710 1 ST ST,ALAMOSA,CO,317,0.63496107,1
NANCY CUTTER,81101,223 6 TH ST STE E,ALAMOSA,CO,333,0.62610614,1
TERRI HUSMANN,81101,22 CONEJOS AVE,ALAMOSA,CO,157,0.77671075,1
K&K DISPATCH LLC,81101,7097 BRUSH LN,ALAMOSA,CO,262,0.6847693,1
"EME HOLDINGS LIMITED, LLC",81101,504 W AVE,ALAMOSA,CO,118,0.8035181,1
"ELAVATION MAINTENANCE, LLC",81101,2916 CHESTER PL,ALAMOSA,CO,307,0.6448574,1
"WH LESTER RANCHES, INC",81101,164 STANLEY RD,ALAMOSA,CO,151,0.7791007,1
"JOHNNY'S AUTO TRIM & ROD SHOP, INC.",81101,1429 ROSS AVE,ALAMOSA,CO,100,0.8130897,1
WAYNE BROWN LLC,81101,1132 COUNTY RD 104 N,ALAMOSA,CO,115,0.8044395,1
"SLV WINE AND SPIRITS, LLC",81101,408 DENVER AVE,ALAMOSA,CO,2,0.9247185,1
MARTINEZ CUSTOM CARPENTRY LLC,81101,514 2 ND ST,ALAMOSA,CO,182,0.7579059,1
THE COLORADO FARM BREWERY LLC,81101,2070 COUNTY RD 12 S,ALAMOSA,CO,331,0.627106,1
GLYNN'S PROCESSING,81101,5195 COUNTY RD 14 S,ALAMOSA,CO,42,0.8618282,1
AUDREY COWAN,81101,3164 COUNTY RD 103,ALAMOSA,CO,105,0.81076086,1
ALAMOSA FIRST ASSEMBLY OF GOD,81101,2602 CLARK ST,ALAMOSA,CO,185,0.75622207,1
"ATENCIO'S ENTERPRISES, INC",81101,802 STATE AVE,ALAMOSA,CO,129,0.7916019,1
"KEY BUSINESS SOLUTIONS, INC.",81101,3143 COUNTY RD 112,ALAMOSA,CO,112,0.8053612,1
JOSEPH DICKERSON,81101,4670 DEL VIENTO RD,ALAMOSA,CO,20,0.87958807,1
CHRISTOPHER T OFFUTT DPM,81101,2415 MULLINS AVE,ALAMOSA,CO,186,0.75606173,1
"CHRISTOPHER T OFFUTT, D.P.M.",81101,2415 MULLINS AVE,ALAMOSA,CO,51,0.8546646,1
ACCENT ON FLOWERS,81101,1114 MAIN ST,ALAMOSA,CO,340,0.62223417,1
"AIR EM UP, LLC",81101,2515 CHICO ST,ALAMOSA,CO,327,0.62852865,1
MPS MANAGEMENT LLC,81101,906 WEBER CT,ALAMOSA,CO,68,0.8349292,1
"SPLASHLAND, LLC",81101,5975 GRIEGO RD,ALAMOSA,CO,349,0.6110866,1
QUALITY HOME INSPECTION AND ELECTRIC,81101,613 3 RD ST,ALAMOSA,CO,266,0.6769387,1
DENTON INSURANCE AGENCY,81101,201 PIKE AVE,ALAMOSA,CO,181,0.7589011,1
ESSENTIAL RADIANCE SKIN CARE SERVICES,81101,1102 MAIN ST,ALAMOSA,CO,168,0.77105707,1
COOL SUNSHINE REALTY,81101,8346 COOL SUNSHINE CIR,ALAMOSA,CO,17,0.8902671,1
RONALD CHRISTOPHER CLARK,81101,1817 TREMONT ST,ALAMOSA,CO,294,0.6533779,1
"COLORADO TOWING, LLC",81101,7171 CACTUS RD,ALAMOSA,CO,206,0.7371234,1
BIG VALLEY HOBBIES LLC,81101,711 BERKELEY AVE,ALAMOSA,CO,189,0.75385153,1
"COOL SUNSHINE RV PARK, LLC",81101,1055 7 TH ST,ALAMOSA,CO,37,0.86424416,1
SARAH YODER,81101,5290 SIERRA VIS RD,ALAMOSA,CO,49,0.8579921,1
MOUNTAIN VALLEY DANCE STUDIOS,81101,226 STATE AVE,ALAMOSA,CO,301,0.64655894,1
"IAC PERFORMANCE, LLC",81101,508 WHITE PNE DR,ALAMOSA,CO,285,0.66784513,1
MTZ CONCRETE CONSTRUCTION,81101,6640 REDWING LN,ALAMOSA,CO,226,0.71914,1
"3-2-1 MAINTENANCE, LLC",81101,823 MAIN ST,ALAMOSA,CO,10,0.9028085,1
"WILDERNESS ADVENTURES, INC",81101,3320 COUNTY RD 103 S,ALAMOSA,CO,354,0.60820436,1
LISA LUCERO,81101,614 11 TH ST,ALAMOSA,CO,109,0.8067153,1
SAN LUIS VALLEY MUSEUM,81101,401 HUNT AVE,ALAMOSA,CO,25,0.8727322,1
INDEPENDENT CONTRACTOR- SONNY YOHN,81101,6450 TRINCHERA LN,ALAMOSA,CO,135,0.7894129,1
VINROCK MEDIA,81101,8 MTN VW,ALAMOSA,CO,183,0.7578685,1
MARILYN STOLTZFUS,81101,516 SAN JUAN AVE,ALAMOSA,CO,275,0.6733086,1
ANGELINA RODRIGUEZ,81101,12230 COUNTY RD 5 S,ALAMOSA,CO,101,0.812113,1
SUNSHINE VALLEY WELLNESS CENTER,81101,1105 3 RD ST 2,ALAMOSA,CO,99,0.81367296,1
"PAINTERS PRO, LLC",81101,2303 VIGIL WAY,ALAMOSA,CO,295,0.6528002,1
"BLUE PEAKS DEVELOPMENTAL SERVICES, INC.",81101,703 4 TH ST,ALAMOSA,CO,171,0.7672195,1
"WALL, SMITH, BATEMAN INC.",81101,3001 ADCOCK CIR,ALAMOSA,CO,41,0.861925,1
"ALCON CONSTRUCTION, INC.",81101,12233 CR 5 S,ALAMOSA,CO,273,0.67373836,1
ARLAN'S PRO SERVICES,81101,6609 COUNTY RD 114 S,ALAMOSA,CO,215,0.72925955,1
"EXPO, LLC",81101,25199 HWY 371,ALAMOSA,CO,87,0.82201564,1
"ASPHALT CONSTRUCTORS, INC.",81101,7040 W US HWY 160,ALAMOSA,CO,252,0.69722825,1
RED WILLOWS INC.,81101,1110 W AVE,ALAMOSA,CO,13,0.898832,1
"BILL CLARK TRUCK LINE, INC.",81101,311 6 TH ST,ALAMOSA,CO,121,0.79888076,1
OKS ENTERPRISES LLC,81101,100 CRAFT DR,ALAMOSA,CO,351,0.6102978,1
"LA PUENTE HOME, INCORPORATED",81101,911 STATE AVE,ALAMOSA,CO,259,0.6880733,1
"VENDOLA PLUMBING & HEATING, INC",81101,185 BROADWAY AVE,ALAMOSA,CO,62,0.8455561,1
ALPINE ELECTRIC INC,81101,82 CONEJOS AVE,ALAMOSA,CO,70,0.8335863,1
MILE & HALF FOODS LLC,81101,2025 MAIN ST,ALAMOSA,CO,130,0.7915723,1
"ABSMEIER LANDSCAPING & CONSTRUCTION, LLC",81101,1424 21 ST ST,ALAMOSA,CO,236,0.713013,1
"SAN LUIS VALLEY BREWING COMPANY, LLC",81101,631 MAIN ST,ALAMOSA,CO,57,0.85111815,1
THE BIG DAY LLC,80510,1130 COUNTY RD 84 W,ALLENSPARK,CO,126,0.79375434,1
ALLENSPARK COMMUNITY CULTURES COUNCIL,80510,14863 HWY 7,ALLENSPARK,CO,136,0.7878596,1
ROCK CREEK GROUP LLC,80510,6 SKI RD,ALLENSPARK,CO,239,0.7089495,1
VERIDITAS LLC,80510,9972 STATE HWY 7,ALLENSPARK,CO,245,0.7046228,1
THE ALLENSPARK COMMUNITY CHURCH,80510,16 WASHINGTON ST,ALLENSPARK,CO,45,0.8592273,1
SJN CORP,80510,555 DL DR,ALLENSPARK,CO,207,0.73573434,1
